"ID","Member_Country","Measure","Table","Value","Dimension","Dimension_Value","Year","Unit"
1,"Fiji","Fishing Employment","8-13",991,"Employed","Number of People Employed","2010","Headcount"
2,"Fiji","Fishing Employment","8-13",1493,"Employed","Number of People Employed","2011","Headcount"
3,"Fiji","Fishing Employment","8-13",1724,"Employed","Number of People Employed","2012","Headcount"
4,"Fiji","Fishing Employment","8-13",2850,"Employed","Number of People Employed","2013","Headcount"
5,"Fiji","Fishing Employment","8-13",2984,"Employed","Number of People Employed","2014","Headcount"
6,"Fiji","Fishing Employment","8-13",3658,"Employed","Number of People Employed","2015","Headcount"
7,"Fiji","Fishing Employment","8-13",4595,"Employed","Number of People Employed","2016","Headcount"
8,"Fiji","Fishing Employment","8-13",4242,"Employed","Number of People Employed","2017","Headcount"
9,"Fiji","Fishing Employment","8-13",4149,"Employed","Number of People Employed","2018","Headcount"
10,"Fiji","Fishing Employment","8-13",3821,"Employed","Number of People Employed","2019","Headcount"
11,"Nauru","Fishing Employment","11-10",2024,"Employed","Male","2021","Headcount"
12,"Nauru","Fishing Employment","11-10",1445,"Employed","Female","2021","Headcount"
13,"Nauru","Fishing Employment","11-10",57,"Employed","Male","2021","Headcount"
14,"Nauru","Fishing Employment","11-10",38,"Employed","Female","2021","Headcount"
15,"Nauru","Fishing Employment","11-10",12,"Employed","Male","2021","Headcount"
16,"Nauru","Fishing Employment","11-10",4,"Employed","Female","2021","Headcount"
17,"Nauru","Fishing Employment","11-10",16,"Employed","Male","2021","Headcount"
18,"Nauru","Fishing Employment","11-10",8,"Employed","Female","2021","Headcount"
19,"Nauru","Fishing Employment","11-10",31,"Employed","Male","2021","Headcount"
20,"Nauru","Fishing Employment","11-10",15,"Employed","Female","2021","Headcount"
21,"Nauru","Fishing Employment","11-10",12,"Employed","Male","2021","Headcount"
22,"Nauru","Fishing Employment","11-10",4,"Employed","Female","2021","Headcount"
23,"Nauru","Fishing Employment","11-10",39,"Employed","Male","2021","Headcount"
24,"Nauru","Fishing Employment","11-10",14,"Employed","Female","2021","Headcount"
25,"New_Caledonia","Fishing Employment","23-11",4,"Employed","Province des Iles Loyaute","2016","Headcount"
26,"New_Caledonia","Fishing Employment","23-11",18,"Employed","Province Nord","2016","Headcount"
27,"New_Caledonia","Fishing Employment","23-11",93,"Employed","Province Sud","2016","Headcount"
28,"New_Caledonia","Fishing Employment","23-11",4,"Employed","Province des Iles Loyaute","2017","Headcount"
29,"New_Caledonia","Fishing Employment","23-11",15,"Employed","Province Nord","2017","Headcount"
30,"New_Caledonia","Fishing Employment","23-11",142,"Employed","Province Sud","2017","Headcount"
31,"New_Caledonia","Fishing Employment","23-11",4,"Employed","Province des Iles Loyaute","2018","Headcount"
32,"New_Caledonia","Fishing Employment","23-11",21,"Employed","Province Nord","2018","Headcount"
33,"New_Caledonia","Fishing Employment","23-11",168,"Employed","Province Sud","2018","Headcount"
34,"Palau","Fishing Employment","13-12",92,"Employed","Number of People Employed","2017","Headcount"
35,"Palau","Fishing Employment","13-12",91,"Employed","Number of People Employed","2018","Headcount"
36,"Palau","Fishing Employment","13-12",85,"Employed","Number of People Employed","2019","Headcount"
37,"Palau","Fishing Employment","13-12",60,"Employed","Number of People Employed","2020","Headcount"
38,"Palau","Fishing Employment","13-12",35,"Employed","Number of People Employed","2021","Headcount"
