"ID","Member_Country","Measure","Table","Value","Harvest_Sector","Year","Unit"
66,"Papau_New_Guinea","Fishing contribution to GDP","14-6",47721000000,"PNG GDP","2013","K"
67,"Papau_New_Guinea","Fishing contribution to GDP","14-6",110000000,"Value added","2013","K"
68,"Papau_New_Guinea","Fishing contribution to GDP","14-6",1042000000,"Gross output fishing","2014","K"
69,"Papau_New_Guinea","Fishing contribution to GDP","14-6",625000000,"Value added","2014","K"
70,"Papau_New_Guinea","Fishing contribution to GDP","14-6",140000000,"Formal fishing","2014","K"
71,"Papau_New_Guinea","Fishing contribution to GDP","14-6",485000000,"Informal fishing","2014","K"
72,"Papau_New_Guinea","Fishing contribution to GDP","14-6",57131000000,"PNG GDP","2014","K"
73,"Papau_New_Guinea","Fishing contribution to GDP","14-6",110000000,"Value added","2014","K"
74,"Papau_New_Guinea","Fishing contribution to GDP","14-6",1194000000,"Gross output fishing","2015","K"
75,"Papau_New_Guinea","Fishing contribution to GDP","14-6",717000000,"Value added","2015","K"
76,"Papau_New_Guinea","Fishing contribution to GDP","14-6",199000000,"Formal fishing","2015","K"
77,"Papau_New_Guinea","Fishing contribution to GDP","14-6",518000000,"Informal fishing","2015","K"
78,"Papau_New_Guinea","Fishing contribution to GDP","14-6",60139000000,"PNG GDP","2015","K"
79,"Papau_New_Guinea","Fishing contribution to GDP","14-6",120000000,"Value added","2015","K"
80,"Papau_New_Guinea","Fishing contribution to GDP","14-6",1795000000,"Gross output fishing","2016","K"
81,"Papau_New_Guinea","Fishing contribution to GDP","14-6",944000000,"Value added","2016","K"
82,"Papau_New_Guinea","Fishing contribution to GDP","14-6",389000000,"Formal fishing","2016","K"
83,"Papau_New_Guinea","Fishing contribution to GDP","14-6",555000000,"Informal fishing","2016","K"
84,"Papau_New_Guinea","Fishing contribution to GDP","14-6",65038000000,"PNG GDP","2016","K"
85,"Papau_New_Guinea","Fishing contribution to GDP","14-6",150000000,"Value added","2016","K"
86,"Papau_New_Guinea","Fishing contribution to GDP","14-6",2103000000,"Gross output fishing","2017","K"
87,"Papau_New_Guinea","Fishing contribution to GDP","14-6",1072000000,"Value added","2017","K"
88,"Papau_New_Guinea","Fishing contribution to GDP","14-6",468000000,"Formal fishing","2017","K"
89,"Papau_New_Guinea","Fishing contribution to GDP","14-6",604000000,"Informal fishing","2017","K"
90,"Papau_New_Guinea","Fishing contribution to GDP","14-6",72522000000,"PNG GDP","2017","K"
91,"Papau_New_Guinea","Fishing contribution to GDP","14-6",150000000,"Value added","2017","K"
92,"Papau_New_Guinea","Fishing contribution to GDP","14-6",2287000000,"Gross output fishing","2018","K"
93,"Papau_New_Guinea","Fishing contribution to GDP","14-6",1157000000,"Value added","2018","K"
94,"Papau_New_Guinea","Fishing contribution to GDP","14-6",507000000,"Formal fishing","2018","K"
95,"Papau_New_Guinea","Fishing contribution to GDP","14-6",651000000,"Informal fishing","2018","K"
96,"Papau_New_Guinea","Fishing contribution to GDP","14-6",79405000000,"PNG GDP","2018","K"
97,"Papau_New_Guinea","Fishing contribution to GDP","14-6",150000000,"Value added","2018","K"
98,"Papau_New_Guinea","Fishing contribution to GDP","14-6",2327000000,"Gross output fishing","2019","K"
99,"Papau_New_Guinea","Fishing contribution to GDP","14-6",1196000000,"Value added","2019","K"
100,"Papau_New_Guinea","Fishing contribution to GDP","14-6",500000000,"Formal fishing","2019","K"
101,"Papau_New_Guinea","Fishing contribution to GDP","14-6",696000000,"Informal fishing","2019","K"
102,"Papau_New_Guinea","Fishing contribution to GDP","14-6",83845000000,"PNG GDP","2019","K"
103,"Papau_New_Guinea","Fishing contribution to GDP","14-6",140000000,"Value added","2019","K"
104,"Papau_New_Guinea","Fishing contribution to GDP","14-6",1264000000,"Value added","2020","K"
105,"Papau_New_Guinea","Fishing contribution to GDP","14-6",511000000,"Formal fishing","2020","K"
106,"Papau_New_Guinea","Fishing contribution to GDP","14-6",753000000,"Informal fishing","2020","K"
107,"Papau_New_Guinea","Fishing contribution to GDP","14-6",82500000000,"PNG GDP","2020","K"
108,"Papau_New_Guinea","Fishing contribution to GDP","14-6",150000000,"Value added","2020","K"
109,"Solomon_Islands","Fishing contribution to GDP","16-7",7718000000,"Fishing contribution","2018","SI$"
110,"Solomon_Islands","Fishing contribution to GDP","16-7",8501000000,"Fishing contribution","2019","SI$"
111,"Solomon_Islands","Fishing contribution to GDP","16-7",7654000000,"Fishing contribution","2020","SI$"
112,"Tokelau","Fishing contribution to GDP","26-6",526977000000,"Gross output of agriculture and fishing","2013","NZ$"
113,"Tokelau","Fishing contribution to GDP","26-6",231643000000,"Intermediate consumption of agriculture and fishing","2013","NZ$"
114,"Tokelau","Fishing contribution to GDP","26-6",295334000000,"Value added","2013","NZ$"
115,"Tokelau","Fishing contribution to GDP","26-6",529547000000,"Gross output of agriculture and fishing","2014","NZ$"
116,"Tokelau","Fishing contribution to GDP","26-6",232773000000,"Intermediate consumption of agriculture and fishing","2014","NZ$"
117,"Tokelau","Fishing contribution to GDP","26-6",296774000000,"Value added","2014","NZ$"
