"Currency","Year","ToUSDollar"
"A$","2000",1.74
"A$","2001",1.95
"A$","2002",1.83
"A$","2003",1.52
"A$","2004",1.36
"A$","2005",1.31
"A$","2006",1.32
"A$","2007",1.19
"A$","2008",1.1
"A$","2009",1.12
"A$","2010",0.1
"A$","2011",0.98
"A$","2012",0.96
"A$","2013",1.12
"A$","2014",1.22
"A$","2015",1.37
"A$","2016",1.37
"A$","2017",1.29
"A$","2018",1.42
"A$","2019",1.44
"A$","2020",1.32
"A$","2021",1.38
"A$","2022",1.53
"F$","2000",2.13
"F$","2001",2.33
"F$","2002",2.15
"F$","2003",1.85
"F$","2004",1.73
"F$","2005",1.7
"F$","2006",1.73
"F$","2007",1.6
"F$","2008",1.51
"F$","2009",1.92
"F$","2010",1.81
"F$","2011",1.84
"F$","2012",1.79
"F$","2013",1.88
"F$","2014",1.98
"F$","2015",2.13
"F$","2016",2.13
"F$","2017",2.06
"F$","2018",2.13
"F$","2019",2.16
"F$","2020",2.05
"F$","2021",2.12
"F$","2022",2.28
"K","2000",2.76
"K","2001",3.36
"K","2002",3.89
"K","2003",3.55
"K","2004",3.22
"K","2005",3.1
"K","2006",3.06
"K","2007",2.96
"K","2008",2.77
"K","2009",2.65
"K","2010",2.63
"K","2011",2.13
"K","2012",2.07
"K","2013",2.42
"K","2014",2.57
"K","2015",2.98
"K","2016",3.25
"K","2017",3.25
"K","2018",3.25
"K","2019",3.41
"K","2020",3.51
"K","2021",3.51
"K","2022",3.52
"NZ$","2000",2.19
"NZ$","2001",2.38
"NZ$","2002",2.15
"NZ$","2003",1.72
"NZ$","2004",1.51
"NZ$","2005",1.42
"NZ$","2006",1.54
"NZ$","2007",1.36
"NZ$","2008",1.32
"NZ$","2009",1.39
"NZ$","2010",1.3
"NZ$","2011",1.29
"NZ$","2012",1.21
"NZ$","2013",1.22
"NZ$","2014",1.28
"NZ$","2015",1.47
"NZ$","2016",1.44
"NZ$","2017",1.42
"NZ$","2018",1.48
"NZ$","2019",1.5
"NZ$","2020",1.4
"NZ$","2021",1.47
"NZ$","2022",1.74
"SI$","2000",5.09
"SI$","2001",5.28
"SI$","2002",6.75
"SI$","2003",7.51
"SI$","2004",7.48
"SI$","2005",7.53
"SI$","2006",7.61
"SI$","2007",7.65
"SI$","2008",7.67
"SI$","2009",7.88
"SI$","2010",7.85
"SI$","2011",7.24
"SI$","2012",7.07
"SI$","2013",7.19
"SI$","2014",7.63
"SI$","2015",8.16
"SI$","2016",7.99
"SI$","2017",7.75
"SI$","2018",8.02
"SI$","2019",8.3
"SI$","2020",8.02
"SI$","2021",8.05
"SI$","2022",8.19
"ST$","2000",3.27
"ST$","2001",3.47
"ST$","2002",3.37
"ST$","2003",3
"ST$","2004",2.78
"ST$","2005",2.71
"ST$","2006",2.78
"ST$","2007",2.62
"ST$","2008",2.52
"ST$","2009",2.5
"ST$","2010",2.35
"ST$","2011",2.36
"ST$","2012",2.28
"ST$","2013",2.33
"ST$","2014",2.39
"ST$","2015",2.58
"ST$","2016",2.61
"ST$","2017",2.55
"ST$","2018",2.62
"ST$","2019",2.67
"ST$","2020",2.53
"ST$","2021",2.59
"ST$","2022",2.8
"T$","2000",1.64
"T$","2001",1.95
"T$","2002",2.18
"T$","2003",2.19
"T$","2004",2.04
"T$","2005",1.93
"T$","2006",2.01
"T$","2007",2.02
"T$","2008",1.85
"T$","2009",1.9
"T$","2010",1.81
"T$","2011",1.73
"T$","2012",1.74
"T$","2013",1.85
"T$","2014",1.86
"T$","2015",2.2
"T$","2016",2.31
"T$","2017",2.22
"T$","2018",2.24
"T$","2019",2.35
"T$","2020",2.28
"T$","2021",2.28
"T$","2022",2.41
"VT","2000",137.8
"VT","2001",145.7
"VT","2002",139.1
"VT","2003",122.2
"VT","2004",111.9
"VT","2005",109
"VT","2006",110
"VT","2007",104
"VT","2008",96.77
"VT","2009",99.72
"VT","2010",95.24
"VT","2011",95.43
"VT","2012",93.51
"VT","2013",96.02
"VT","2014",102.51
"VT","2015",109.57
"VT","2016",110.5
"VT","2017",105.92
"VT","2018",113.97
"VT","2019",116.05
"VT","2020",109.3
"VT","2021",113.07
"VT","2022",122.77
"XPF","2000",130
"XPF","2001",133
"XPF","2002",127
"XPF","2003",106
"XPF","2004",96
"XPF","2005",96
"XPF","2006",95
"XPF","2007",87
"XPF","2008",80
"XPF","2009",83.22
"XPF","2010",90.27
"XPF","2011",92.16
"XPF","2012",89.88
"XPF","2013",86.01
"XPF","2014",98.13
"XPF","2015",108.81
"XPF","2016",114.17
"XPF","2017",99.42
"XPF","2018",104.39
"XPF","2019",106.78
"XPF","2020",98
"XPF","2021",105.37
"XPF","2022",120.27
